"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Azerbaijan","2007","Male","Not applicable","Number","89.75305"
"Azerbaijan","2007","Female","Not applicable","Number","87.23897"
"Azerbaijan","2007","All genders","Not applicable","Number","88.53236"
"Azerbaijan","2006","Male","Not applicable","Number","84.11872"
"Azerbaijan","2006","All genders","Not applicable","Number","82.73011"
"Azerbaijan","2006","Female","Not applicable","Number","81.27187"
"Azerbaijan","2005","Male","Not applicable","Number","85.13725"
"Azerbaijan","2005","Female","Not applicable","Number","75.99427"
"Azerbaijan","2005","All genders","Not applicable","Number","80.49661"
"Azerbaijan","2004","Male","Not applicable","Number","83.13341"
"Azerbaijan","2004","All genders","Not applicable","Number","81.23237"
"Azerbaijan","2004","Female","Not applicable","Number","79.25485"
"Azerbaijan","2003","Male","Not applicable","Number","85.9369"
"Azerbaijan","2003","Female","Not applicable","Number","80.61417"
"Azerbaijan","2003","All genders","Not applicable","Number","83.29322"
"Azerbaijan","2002","Male","Not applicable","Number","89.11061"
"Azerbaijan","2002","All genders","Not applicable","Number","85.86073"
"Azerbaijan","2002","Female","Not applicable","Number","82.66435"
"Azerbaijan","2001","Male","Not applicable","Number","72.33216"
"Azerbaijan","2001","Female","Not applicable","Number","71.32257"
"Azerbaijan","2001","All genders","Not applicable","Number","71.83842"
"Bahamas","2010","Female","Not applicable","Number","92.45891"
"Bahamas","2010","Male","Not applicable","Number","92.67214"
"Bahamas","2010","All genders","Not applicable","Number","92.5666"
"Bahrain","2013","Female","Not applicable","Number","89.63843"
"Bahrain","2013","All genders","Not applicable","Number","83.59948"
"Bahrain","2013","Male","Not applicable","Number","78.39445"
"Bangladesh","2007","Female","Not applicable","Number","51.547"
"Bangladesh","2007","All genders","Not applicable","Number","47.54474"
"Bangladesh","2007","Male","Not applicable","Number","43.70007"
"Bangladesh","2006","All genders","Not applicable","Number","46.5016"
"Bangladesh","2006","Male","Not applicable","Number","42.64822"
"Bangladesh","2006","Female","Not applicable","Number","50.51201"
"Belarus","2014","All genders","Not applicable","Number","107.66411"
"Belarus","2014","Female","Not applicable","Number","108.02155"
"Belarus","2014","Male","Not applicable","Number","107.32744"
"Belarus","2013","Male","Not applicable","Number","106.03647"
"Belarus","2013","Female","Not applicable","Number","105.73774"
"Belarus","2013","All genders","Not applicable","Number","105.89153"
"Belarus","2012","All genders","Not applicable","Number","104.76216"
"Belarus","2012","Female","Not applicable","Number","103.88226"
"Belarus","2012","Male","Not applicable","Number","105.59241"
"Belarus","2011","Male","Not applicable","Number","100.64562"
"Belarus","2011","Female","Not applicable","Number","99.0268"
"Belarus","2011","All genders","Not applicable","Number","99.85976"
"Belarus","2010","All genders","Not applicable","Number","96.19024"
"Belarus","2010","Female","Not applicable","Number","97.30955"
"Belarus","2010","Male","Not applicable","Number","95.13586"
"Belarus","2009","Male","Not applicable","Number","205.96431"
"Belarus","2009","Female","Not applicable","Number","205.63383"
"Belarus","2009","All genders","Not applicable","Number","205.80395"
"Belarus","2008","All genders","Not applicable","Number","82.60466"
"Belarus","2008","Female","Not applicable","Number","83.83861"
"Belarus","2008","Male","Not applicable","Number","81.44035"
"Belarus","2007","Male","Not applicable","Number","134.96754"
